Subject,Body,Label
HR Policy Updates,Please find attached the project updates and timeline.,legit
HR Policy Updates,Let me know if 3 PM works for the meeting.,legit
HR Policy Updates,Your quarterly review is scheduled for next week.,legit
Your account has been suspended,Click the link below to verify your account immediately.,phishing
Claim your reward today!,Reset your credentials to avoid security issues.,phishing
Workshop on Cybersecurity,Join us for a fun team outing this Friday evening.,legit
Action required: Verify your identity,You have an unclaimed reward. Act now!,phishing
Meeting rescheduled to 3 PM,Check out our latest updates in the June newsletter.,legit
Reminder: Submit your timesheet,Welcome our new team members and join the onboarding session.,legit
New employee onboarding,Welcome our new team members and join the onboarding session.,legit
Team outing this Friday,You are invited to attend the cybersecurity awareness workshop.,legit
Confirm your account information,Reset your credentials to avoid security issues.,phishing
Your account has been suspended,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Quarterly performance review,Your quarterly review is scheduled for next week.,legit
HR Policy Updates,Check out our latest updates in the June newsletter.,legit
Reminder: Submit your timesheet,Please find attached the project updates and timeline.,legit
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
Reminder: Submit your timesheet,Let me know if 3 PM works for the meeting.,legit
Team outing this Friday,Your quarterly review is scheduled for next week.,legit
Meeting rescheduled to 3 PM,Your quarterly review is scheduled for next week.,legit
New employee onboarding,Your quarterly review is scheduled for next week.,legit
Suspicious login attempt detected,You have an unclaimed reward. Act now!,phishing
Confirm your account information,Your account has been compromised. Update your password now.,phishing
Claim your reward today!,You have an unclaimed reward. Act now!,phishing
Unusual activity found,Click the link below to verify your account immediately.,phishing
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
Reset your password now,Verify your account details to continue using our services.,phishing
Quarterly performance review,This is a reminder to submit your timesheet by EOD.,legit
HR Policy Updates,Let me know if 3 PM works for the meeting.,legit
Reset your password now,Reactivate your account by logging in through this link.,phishing
Meeting rescheduled to 3 PM,Welcome our new team members and join the onboarding session.,legit
Urgent: Update your password,Provide your personal information to restore access.,phishing
Suspicious login attempt detected,Reactivate your account by logging in through this link.,phishing
Your account has been suspended,We noticed a suspicious login attempt. Confirm your identity.,phishing
Workshop on Cybersecurity,This is a reminder to submit your timesheet by EOD.,legit
Quarterly performance review,Let me know if 3 PM works for the meeting.,legit
Confirm your account information,You have an unclaimed reward. Act now!,phishing
Confirm your account information,Click the link below to verify your account immediately.,phishing
Project update and next steps,Attached is the invoice for services rendered in May.,legit
Claim your reward today!,Failure to update will result in account suspension.,phishing
You've won a prize!,We noticed a suspicious login attempt. Confirm your identity.,phishing
Workshop on Cybersecurity,Let me know if 3 PM works for the meeting.,legit
New employee onboarding,Attached is the invoice for services rendered in May.,legit
Quarterly performance review,Check out our latest updates in the June newsletter.,legit
Unusual activity found,Click the link below to verify your account immediately.,phishing
Urgent: Update your password,Reactivate your account by logging in through this link.,phishing
Invoice for May services,Please find attached the project updates and timeline.,legit
Final notice: Your invoice is due,Your account has been compromised. Update your password now.,phishing
Unusual activity found,You have an unclaimed reward. Act now!,phishing
Workshop on Cybersecurity,Join us for a fun team outing this Friday evening.,legit
Team outing this Friday,Join us for a fun team outing this Friday evening.,legit
Invoice for May services,You are invited to attend the cybersecurity awareness workshop.,legit
Urgent: Update your password,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Weekly newsletter - June Edition,Here are the updates to the HR policy for your review.,legit
Confirm your account information,Verify your account details to continue using our services.,phishing
Meeting rescheduled to 3 PM,Please find attached the project updates and timeline.,legit
Invoice for May services,This is a reminder to submit your timesheet by EOD.,legit
Claim your reward today!,Reset your credentials to avoid security issues.,phishing
Reset your password now,We noticed a suspicious login attempt. Confirm your identity.,phishing
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
Final notice: Your invoice is due,Reactivate your account by logging in through this link.,phishing
Quarterly performance review,Check out our latest updates in the June newsletter.,legit
Unusual activity found,We noticed a suspicious login attempt. Confirm your identity.,phishing
Reminder: Submit your timesheet,Please find attached the project updates and timeline.,legit
Your account has been suspended,Reactivate your account by logging in through this link.,phishing
Reminder: Submit your timesheet,Join us for a fun team outing this Friday evening.,legit
Reminder: Submit your timesheet,Let me know if 3 PM works for the meeting.,legit
Invoice for May services,Join us for a fun team outing this Friday evening.,legit
Suspicious login attempt detected,Provide your personal information to restore access.,phishing
You've won a prize!,Reactivate your account by logging in through this link.,phishing
HR Policy Updates,Attached is the invoice for services rendered in May.,legit
HR Policy Updates,This is a reminder to submit your timesheet by EOD.,legit
Invoice for May services,Please find attached the project updates and timeline.,legit
Suspicious login attempt detected,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Your account has been suspended,Reactivate your account by logging in through this link.,phishing
Workshop on Cybersecurity,Let me know if 3 PM works for the meeting.,legit
New employee onboarding,This is a reminder to submit your timesheet by EOD.,legit
Unusual activity found,Provide your personal information to restore access.,phishing
Invoice for May services,This is a reminder to submit your timesheet by EOD.,legit
Weekly newsletter - June Edition,Let me know if 3 PM works for the meeting.,legit
Your account has been suspended,Click the link below to verify your account immediately.,phishing
Action required: Verify your identity,Reset your credentials to avoid security issues.,phishing
Workshop on Cybersecurity,Join us for a fun team outing this Friday evening.,legit
Team outing this Friday,Here are the updates to the HR policy for your review.,legit
Project update and next steps,Your quarterly review is scheduled for next week.,legit
Unusual activity found,Your account has been compromised. Update your password now.,phishing
Unusual activity found,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Confirm your account information,Reset your credentials to avoid security issues.,phishing
HR Policy Updates,Attached is the invoice for services rendered in May.,legit
Weekly newsletter - June Edition,Let me know if 3 PM works for the meeting.,legit
Invoice for May services,This is a reminder to submit your timesheet by EOD.,legit
Reminder: Submit your timesheet,Your quarterly review is scheduled for next week.,legit
Suspicious login attempt detected,We noticed a suspicious login attempt. Confirm your identity.,phishing
Urgent: Update your password,Reset your credentials to avoid security issues.,phishing
HR Policy Updates,Your quarterly review is scheduled for next week.,legit
Invoice for May services,Let me know if 3 PM works for the meeting.,legit
Quarterly performance review,Your quarterly review is scheduled for next week.,legit
Weekly newsletter - June Edition,This is a reminder to submit your timesheet by EOD.,legit
Action required: Verify your identity,Provide your personal information to restore access.,phishing
Team outing this Friday,You are invited to attend the cybersecurity awareness workshop.,legit
Urgent: Update your password,We noticed a suspicious login attempt. Confirm your identity.,phishing
Your account has been suspended,Provide your personal information to restore access.,phishing
Suspicious login attempt detected,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Invoice for May services,Please find attached the project updates and timeline.,legit
Team outing this Friday,Let me know if 3 PM works for the meeting.,legit
Urgent: Update your password,Verify your account details to continue using our services.,phishing
Final notice: Your invoice is due,Click the link below to verify your account immediately.,phishing
Your account has been suspended,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Reset your password now,Failure to update will result in account suspension.,phishing
Weekly newsletter - June Edition,Your quarterly review is scheduled for next week.,legit
Reset your password now,Click the link below to verify your account immediately.,phishing
Urgent: Update your password,Click the link below to verify your account immediately.,phishing
Reset your password now,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Weekly newsletter - June Edition,You are invited to attend the cybersecurity awareness workshop.,legit
Reset your password now,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Unusual activity found,Your account has been compromised. Update your password now.,phishing
Reset your password now,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Unusual activity found,Reactivate your account by logging in through this link.,phishing
Quarterly performance review,Check out our latest updates in the June newsletter.,legit
Meeting rescheduled to 3 PM,Please find attached the project updates and timeline.,legit
Meeting rescheduled to 3 PM,You are invited to attend the cybersecurity awareness workshop.,legit
Confirm your account information,Reset your credentials to avoid security issues.,phishing
Claim your reward today!,You have an unclaimed reward. Act now!,phishing
New employee onboarding,You are invited to attend the cybersecurity awareness workshop.,legit
You've won a prize!,Your account has been compromised. Update your password now.,phishing
HR Policy Updates,Welcome our new team members and join the onboarding session.,legit
Suspicious login attempt detected,You have an unclaimed reward. Act now!,phishing
New employee onboarding,Please find attached the project updates and timeline.,legit
Claim your reward today!,Reactivate your account by logging in through this link.,phishing
Project update and next steps,Check out our latest updates in the June newsletter.,legit
Urgent: Update your password,You have an unclaimed reward. Act now!,phishing
HR Policy Updates,Join us for a fun team outing this Friday evening.,legit
Your account has been suspended,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Your account has been suspended,Reset your credentials to avoid security issues.,phishing
Claim your reward today!,Reset your credentials to avoid security issues.,phishing
New employee onboarding,Here are the updates to the HR policy for your review.,legit
Team outing this Friday,This is a reminder to submit your timesheet by EOD.,legit
Meeting rescheduled to 3 PM,Here are the updates to the HR policy for your review.,legit
Reminder: Submit your timesheet,You are invited to attend the cybersecurity awareness workshop.,legit
You've won a prize!,Your account has been compromised. Update your password now.,phishing
Urgent: Update your password,Reset your credentials to avoid security issues.,phishing
HR Policy Updates,Join us for a fun team outing this Friday evening.,legit
Your account has been suspended,Reset your credentials to avoid security issues.,phishing
Claim your reward today!,Provide your personal information to restore access.,phishing
Team outing this Friday,Here are the updates to the HR policy for your review.,legit
Reset your password now,Verify your account details to continue using our services.,phishing
Final notice: Your invoice is due,You have an unclaimed reward. Act now!,phishing
Reminder: Submit your timesheet,This is a reminder to submit your timesheet by EOD.,legit
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
New employee onboarding,Let me know if 3 PM works for the meeting.,legit
Invoice for May services,You are invited to attend the cybersecurity awareness workshop.,legit
Team outing this Friday,Your quarterly review is scheduled for next week.,legit
Reminder: Submit your timesheet,This is a reminder to submit your timesheet by EOD.,legit
You've won a prize!,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Unusual activity found,Provide your personal information to restore access.,phishing
Your account has been suspended,Reset your credentials to avoid security issues.,phishing
Quarterly performance review,You are invited to attend the cybersecurity awareness workshop.,legit
Quarterly performance review,Attached is the invoice for services rendered in May.,legit
Confirm your account information,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Workshop on Cybersecurity,Let me know if 3 PM works for the meeting.,legit
New employee onboarding,You are invited to attend the cybersecurity awareness workshop.,legit
Claim your reward today!,Your account has been compromised. Update your password now.,phishing
You've won a prize!,You have an unclaimed reward. Act now!,phishing
Claim your reward today!,Click the link below to verify your account immediately.,phishing
Unusual activity found,Provide your personal information to restore access.,phishing
HR Policy Updates,Welcome our new team members and join the onboarding session.,legit
Action required: Verify your identity,Your account has been compromised. Update your password now.,phishing
HR Policy Updates,Your quarterly review is scheduled for next week.,legit
Weekly newsletter - June Edition,Attached is the invoice for services rendered in May.,legit
Suspicious login attempt detected,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Quarterly performance review,Please find attached the project updates and timeline.,legit
Claim your reward today!,We noticed a suspicious login attempt. Confirm your identity.,phishing
Quarterly performance review,Let me know if 3 PM works for the meeting.,legit
Quarterly performance review,Join us for a fun team outing this Friday evening.,legit
Meeting rescheduled to 3 PM,Attached is the invoice for services rendered in May.,legit
Claim your reward today!,Your account has been compromised. Update your password now.,phishing
Meeting rescheduled to 3 PM,Here are the updates to the HR policy for your review.,legit
Final notice: Your invoice is due,Reset your credentials to avoid security issues.,phishing
Reminder: Submit your timesheet,This is a reminder to submit your timesheet by EOD.,legit
Reset your password now,Reactivate your account by logging in through this link.,phishing
Workshop on Cybersecurity,Your quarterly review is scheduled for next week.,legit
Unusual activity found,Reset your credentials to avoid security issues.,phishing
Project update and next steps,Welcome our new team members and join the onboarding session.,legit
Unusual activity found,Verify your account details to continue using our services.,phishing
Final notice: Your invoice is due,We noticed a suspicious login attempt. Confirm your identity.,phishing
Workshop on Cybersecurity,Your quarterly review is scheduled for next week.,legit
You've won a prize!,Click the link below to verify your account immediately.,phishing
Your account has been suspended,Your account has been compromised. Update your password now.,phishing
Team outing this Friday,Here are the updates to the HR policy for your review.,legit
You've won a prize!,Click the link below to verify your account immediately.,phishing
HR Policy Updates,Attached is the invoice for services rendered in May.,legit
Project update and next steps,Here are the updates to the HR policy for your review.,legit
New employee onboarding,Let me know if 3 PM works for the meeting.,legit
Quarterly performance review,Please find attached the project updates and timeline.,legit
HR Policy Updates,Your quarterly review is scheduled for next week.,legit
New employee onboarding,You are invited to attend the cybersecurity awareness workshop.,legit
Project update and next steps,Let me know if 3 PM works for the meeting.,legit
HR Policy Updates,You are invited to attend the cybersecurity awareness workshop.,legit
New employee onboarding,Your quarterly review is scheduled for next week.,legit
Reminder: Submit your timesheet,This is a reminder to submit your timesheet by EOD.,legit
Workshop on Cybersecurity,Attached is the invoice for services rendered in May.,legit
Action required: Verify your identity,Failure to update will result in account suspension.,phishing
New employee onboarding,Let me know if 3 PM works for the meeting.,legit
Action required: Verify your identity,Your account has been compromised. Update your password now.,phishing
Reset your password now,Your account has been compromised. Update your password now.,phishing
Weekly newsletter - June Edition,Check out our latest updates in the June newsletter.,legit
Suspicious login attempt detected,Failure to update will result in account suspension.,phishing
Final notice: Your invoice is due,Click the link below to verify your account immediately.,phishing
Weekly newsletter - June Edition,Attached is the invoice for services rendered in May.,legit
Invoice for May services,Attached is the invoice for services rendered in May.,legit
Confirm your account information,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Weekly newsletter - June Edition,Check out our latest updates in the June newsletter.,legit
Weekly newsletter - June Edition,Please find attached the project updates and timeline.,legit
Invoice for May services,Check out our latest updates in the June newsletter.,legit
Your account has been suspended,Click the link below to verify your account immediately.,phishing
Your account has been suspended,Verify your account details to continue using our services.,phishing
You've won a prize!,Click the link below to verify your account immediately.,phishing
Final notice: Your invoice is due,We noticed a suspicious login attempt. Confirm your identity.,phishing
Action required: Verify your identity,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Team outing this Friday,Join us for a fun team outing this Friday evening.,legit
Claim your reward today!,You have an unclaimed reward. Act now!,phishing
Team outing this Friday,Check out our latest updates in the June newsletter.,legit
Action required: Verify your identity,Provide your personal information to restore access.,phishing
Unusual activity found,You have an unclaimed reward. Act now!,phishing
Quarterly performance review,This is a reminder to submit your timesheet by EOD.,legit
You've won a prize!,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Reset your password now,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Weekly newsletter - June Edition,This is a reminder to submit your timesheet by EOD.,legit
Claim your reward today!,Click the link below to verify your account immediately.,phishing
Project update and next steps,This is a reminder to submit your timesheet by EOD.,legit
Your account has been suspended,Click the link below to verify your account immediately.,phishing
Unusual activity found,Reset your credentials to avoid security issues.,phishing
Invoice for May services,Attached is the invoice for services rendered in May.,legit
Project update and next steps,You are invited to attend the cybersecurity awareness workshop.,legit
Team outing this Friday,Join us for a fun team outing this Friday evening.,legit
Your account has been suspended,Provide your personal information to restore access.,phishing
Team outing this Friday,Check out our latest updates in the June newsletter.,legit
Quarterly performance review,Here are the updates to the HR policy for your review.,legit
Unusual activity found,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Claim your reward today!,Your account has been compromised. Update your password now.,phishing
Reset your password now,We noticed a suspicious login attempt. Confirm your identity.,phishing
New employee onboarding,Welcome our new team members and join the onboarding session.,legit
Unusual activity found,Reactivate your account by logging in through this link.,phishing
Reminder: Submit your timesheet,Join us for a fun team outing this Friday evening.,legit
Reminder: Submit your timesheet,Let me know if 3 PM works for the meeting.,legit
Project update and next steps,Please find attached the project updates and timeline.,legit
Weekly newsletter - June Edition,Let me know if 3 PM works for the meeting.,legit
Reminder: Submit your timesheet,Check out our latest updates in the June newsletter.,legit
Workshop on Cybersecurity,Check out our latest updates in the June newsletter.,legit
Meeting rescheduled to 3 PM,Please find attached the project updates and timeline.,legit
Urgent: Update your password,Failure to update will result in account suspension.,phishing
Invoice for May services,This is a reminder to submit your timesheet by EOD.,legit
New employee onboarding,Here are the updates to the HR policy for your review.,legit
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
Final notice: Your invoice is due,Click the link below to verify your account immediately.,phishing
Meeting rescheduled to 3 PM,Check out our latest updates in the June newsletter.,legit
Urgent: Update your password,You have an unclaimed reward. Act now!,phishing
Quarterly performance review,Here are the updates to the HR policy for your review.,legit
Workshop on Cybersecurity,Join us for a fun team outing this Friday evening.,legit
Reminder: Submit your timesheet,Here are the updates to the HR policy for your review.,legit
Suspicious login attempt detected,Reset your credentials to avoid security issues.,phishing
HR Policy Updates,Please find attached the project updates and timeline.,legit
Final notice: Your invoice is due,Click the link below to verify your account immediately.,phishing
Project update and next steps,Your quarterly review is scheduled for next week.,legit
Unusual activity found,Provide your personal information to restore access.,phishing
Suspicious login attempt detected,We noticed a suspicious login attempt. Confirm your identity.,phishing
Reminder: Submit your timesheet,Attached is the invoice for services rendered in May.,legit
Weekly newsletter - June Edition,Join us for a fun team outing this Friday evening.,legit
Urgent: Update your password,Verify your account details to continue using our services.,phishing
