Subject,Body,Label
Final notice: Your invoice is due,Provide your personal information to restore access.,phishing
Reminder: Submit your timesheet,Join us for a fun team outing this Friday evening.,legit
Confirm your account information,We noticed a suspicious login attempt. Confirm your identity.,phishing
Team outing this Friday,Please find attached the project updates and timeline.,legit
You've won a prize!,Reactivate your account by logging in through this link.,phishing
New employee onboarding,Check out our latest updates in the June newsletter.,legit
Claim your reward today!,Provide your personal information to restore access.,phishing
Invoice for May services,Please find attached the project updates and timeline.,legit
Suspicious login attempt detected,Failure to update will result in account suspension.,phishing
HR Policy Updates,Welcome our new team members and join the onboarding session.,legit
Urgent: Update your password,We noticed a suspicious login attempt. Confirm your identity.,phishing
Reminder: Submit your timesheet,Attached is the invoice for services rendered in May.,legit
Meeting rescheduled to 3 PM,Let me know if 3 PM works for the meeting.,legit
Team outing this Friday,Check out our latest updates in the June newsletter.,legit
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
Suspicious login attempt detected,Failure to update will result in account suspension.,phishing
You've won a prize!,We noticed a suspicious login attempt. Confirm your identity.,phishing
Quarterly performance review,Attached is the invoice for services rendered in May.,legit
Action required: Verify your identity,You have an unclaimed reward. Act now!,phishing
Reminder: Submit your timesheet,Your quarterly review is scheduled for next week.,legit
HR Policy Updates,This is a reminder to submit your timesheet by EOD.,legit
Weekly newsletter - June Edition,Check out our latest updates in the June newsletter.,legit
Your account has been suspended,Your account has been compromised. Update your password now.,phishing
Urgent: Update your password,Provide your personal information to restore access.,phishing
Unusual activity found,Reset your credentials to avoid security issues.,phishing
Reset your password now,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
Team outing this Friday,Attached is the invoice for services rendered in May.,legit
Final notice: Your invoice is due,Reactivate your account by logging in through this link.,phishing
Claim your reward today!,Reactivate your account by logging in through this link.,phishing
Quarterly performance review,Please find attached the project updates and timeline.,legit
Weekly newsletter - June Edition,You are invited to attend the cybersecurity awareness workshop.,legit
You've won a prize!,Provide your personal information to restore access.,phishing
Final notice: Your invoice is due,Reactivate your account by logging in through this link.,phishing
Action required: Verify your identity,Click the link below to verify your account immediately.,phishing
You've won a prize!,Your account has been compromised. Update your password now.,phishing
Suspicious login attempt detected,You have an unclaimed reward. Act now!,phishing
New employee onboarding,Welcome our new team members and join the onboarding session.,legit
Suspicious login attempt detected,Your account has been compromised. Update your password now.,phishing
Claim your reward today!,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Project update and next steps,You are invited to attend the cybersecurity awareness workshop.,legit
Confirm your account information,Verify your account details to continue using our services.,phishing
You've won a prize!,We noticed a suspicious login attempt. Confirm your identity.,phishing
Claim your reward today!,Click the link below to verify your account immediately.,phishing
Claim your reward today!,Click the link below to verify your account immediately.,phishing
Confirm your account information,Failure to update will result in account suspension.,phishing
New employee onboarding,Here are the updates to the HR policy for your review.,legit
Unusual activity found,We noticed a suspicious login attempt. Confirm your identity.,phishing
Suspicious login attempt detected,Provide your personal information to restore access.,phishing
Meeting rescheduled to 3 PM,Welcome our new team members and join the onboarding session.,legit
Project update and next steps,Attached is the invoice for services rendered in May.,legit
Urgent: Update your password,Failure to update will result in account suspension.,phishing
Invoice for May services,Please find attached the project updates and timeline.,legit
Meeting rescheduled to 3 PM,You are invited to attend the cybersecurity awareness workshop.,legit
Meeting rescheduled to 3 PM,Attached is the invoice for services rendered in May.,legit
Weekly newsletter - June Edition,You are invited to attend the cybersecurity awareness workshop.,legit
Unusual activity found,Reactivate your account by logging in through this link.,phishing
Action required: Verify your identity,Reset your credentials to avoid security issues.,phishing
New employee onboarding,Here are the updates to the HR policy for your review.,legit
Invoice for May services,Join us for a fun team outing this Friday evening.,legit
Urgent: Update your password,You have an unclaimed reward. Act now!,phishing
Workshop on Cybersecurity,Here are the updates to the HR policy for your review.,legit
Unusual activity found,Provide your personal information to restore access.,phishing
Workshop on Cybersecurity,This is a reminder to submit your timesheet by EOD.,legit
Quarterly performance review,Your quarterly review is scheduled for next week.,legit
Workshop on Cybersecurity,You are invited to attend the cybersecurity awareness workshop.,legit
Team outing this Friday,This is a reminder to submit your timesheet by EOD.,legit
Your account has been suspended,Reactivate your account by logging in through this link.,phishing
You've won a prize!,Reactivate your account by logging in through this link.,phishing
Urgent: Update your password,We noticed a suspicious login attempt. Confirm your identity.,phishing
Quarterly performance review,Let me know if 3 PM works for the meeting.,legit
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
Action required: Verify your identity,Provide your personal information to restore access.,phishing
Weekly newsletter - June Edition,Check out our latest updates in the June newsletter.,legit
Quarterly performance review,Please find attached the project updates and timeline.,legit
Reset your password now,You have an unclaimed reward. Act now!,phishing
Claim your reward today!,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Final notice: Your invoice is due,You have an unclaimed reward. Act now!,phishing
Unusual activity found,Failure to update will result in account suspension.,phishing
Project update and next steps,Check out our latest updates in the June newsletter.,legit
Weekly newsletter - June Edition,Welcome our new team members and join the onboarding session.,legit
New employee onboarding,Here are the updates to the HR policy for your review.,legit
Urgent: Update your password,Provide your personal information to restore access.,phishing
Claim your reward today!,Failure to update will result in account suspension.,phishing
Quarterly performance review,You are invited to attend the cybersecurity awareness workshop.,legit
You've won a prize!,Reset your credentials to avoid security issues.,phishing
Reminder: Submit your timesheet,Attached is the invoice for services rendered in May.,legit
Reset your password now,Failure to update will result in account suspension.,phishing
Unusual activity found,We noticed a suspicious login attempt. Confirm your identity.,phishing
Final notice: Your invoice is due,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
Reminder: Submit your timesheet,You are invited to attend the cybersecurity awareness workshop.,legit
Confirm your account information,You have an unclaimed reward. Act now!,phishing
Quarterly performance review,This is a reminder to submit your timesheet by EOD.,legit
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
Suspicious login attempt detected,Reset your credentials to avoid security issues.,phishing
Final notice: Your invoice is due,Click the link below to verify your account immediately.,phishing
Quarterly performance review,Here are the updates to the HR policy for your review.,legit
Your account has been suspended,Failure to update will result in account suspension.,phishing
Team outing this Friday,Your quarterly review is scheduled for next week.,legit
Invoice for May services,Check out our latest updates in the June newsletter.,legit
Final notice: Your invoice is due,Verify your account details to continue using our services.,phishing
Team outing this Friday,Attached is the invoice for services rendered in May.,legit
Team outing this Friday,Your quarterly review is scheduled for next week.,legit
Team outing this Friday,Please find attached the project updates and timeline.,legit
New employee onboarding,Please find attached the project updates and timeline.,legit
Weekly newsletter - June Edition,Here are the updates to the HR policy for your review.,legit
Reminder: Submit your timesheet,Your quarterly review is scheduled for next week.,legit
Urgent: Update your password,Reactivate your account by logging in through this link.,phishing
Team outing this Friday,Let me know if 3 PM works for the meeting.,legit
Quarterly performance review,Your quarterly review is scheduled for next week.,legit
Suspicious login attempt detected,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Team outing this Friday,Your quarterly review is scheduled for next week.,legit
Reminder: Submit your timesheet,Here are the updates to the HR policy for your review.,legit
Team outing this Friday,This is a reminder to submit your timesheet by EOD.,legit
New employee onboarding,Your quarterly review is scheduled for next week.,legit
Meeting rescheduled to 3 PM,You are invited to attend the cybersecurity awareness workshop.,legit
Claim your reward today!,Reset your credentials to avoid security issues.,phishing
Claim your reward today!,Click the link below to verify your account immediately.,phishing
HR Policy Updates,Welcome our new team members and join the onboarding session.,legit
Meeting rescheduled to 3 PM,Here are the updates to the HR policy for your review.,legit
Confirm your account information,We noticed a suspicious login attempt. Confirm your identity.,phishing
Invoice for May services,Check out our latest updates in the June newsletter.,legit
Invoice for May services,Attached is the invoice for services rendered in May.,legit
Meeting rescheduled to 3 PM,Welcome our new team members and join the onboarding session.,legit
New employee onboarding,Check out our latest updates in the June newsletter.,legit
HR Policy Updates,Join us for a fun team outing this Friday evening.,legit
Urgent: Update your password,Click the link below to verify your account immediately.,phishing
Claim your reward today!,Provide your personal information to restore access.,phishing
Action required: Verify your identity,Click the link below to verify your account immediately.,phishing
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
Quarterly performance review,Join us for a fun team outing this Friday evening.,legit
Team outing this Friday,Here are the updates to the HR policy for your review.,legit
Invoice for May services,Here are the updates to the HR policy for your review.,legit
Confirm your account information,Reactivate your account by logging in through this link.,phishing
Weekly newsletter - June Edition,Join us for a fun team outing this Friday evening.,legit
Unusual activity found,Your account has been compromised. Update your password now.,phishing
Weekly newsletter - June Edition,Your quarterly review is scheduled for next week.,legit
Unusual activity found,You have an unclaimed reward. Act now!,phishing
New employee onboarding,This is a reminder to submit your timesheet by EOD.,legit
Confirm your account information,Your account has been compromised. Update your password now.,phishing
Weekly newsletter - June Edition,This is a reminder to submit your timesheet by EOD.,legit
Urgent: Update your password,Failure to update will result in account suspension.,phishing
Urgent: Update your password,Verify your account details to continue using our services.,phishing
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
Team outing this Friday,Welcome our new team members and join the onboarding session.,legit
Meeting rescheduled to 3 PM,Check out our latest updates in the June newsletter.,legit
HR Policy Updates,Let me know if 3 PM works for the meeting.,legit
Confirm your account information,Provide your personal information to restore access.,phishing
Project update and next steps,You are invited to attend the cybersecurity awareness workshop.,legit
Claim your reward today!,You have an unclaimed reward. Act now!,phishing
Confirm your account information,Click the link below to verify your account immediately.,phishing
Urgent: Update your password,Failure to update will result in account suspension.,phishing
Meeting rescheduled to 3 PM,You are invited to attend the cybersecurity awareness workshop.,legit
HR Policy Updates,Check out our latest updates in the June newsletter.,legit
Urgent: Update your password,Reset your credentials to avoid security issues.,phishing
Team outing this Friday,Welcome our new team members and join the onboarding session.,legit
Reset your password now,Verify your account details to continue using our services.,phishing
Meeting rescheduled to 3 PM,Here are the updates to the HR policy for your review.,legit
Meeting rescheduled to 3 PM,Check out our latest updates in the June newsletter.,legit
Urgent: Update your password,Your account has been compromised. Update your password now.,phishing
Team outing this Friday,Welcome our new team members and join the onboarding session.,legit
Unusual activity found,Your account has been compromised. Update your password now.,phishing
Action required: Verify your identity,Reactivate your account by logging in through this link.,phishing
Invoice for May services,Your quarterly review is scheduled for next week.,legit
Final notice: Your invoice is due,We noticed a suspicious login attempt. Confirm your identity.,phishing
Workshop on Cybersecurity,Here are the updates to the HR policy for your review.,legit
Your account has been suspended,Your account has been compromised. Update your password now.,phishing
Meeting rescheduled to 3 PM,Let me know if 3 PM works for the meeting.,legit
Invoice for May services,Check out our latest updates in the June newsletter.,legit
Project update and next steps,This is a reminder to submit your timesheet by EOD.,legit
Suspicious login attempt detected,You have an unclaimed reward. Act now!,phishing
HR Policy Updates,Attached is the invoice for services rendered in May.,legit
Team outing this Friday,Let me know if 3 PM works for the meeting.,legit
New employee onboarding,Check out our latest updates in the June newsletter.,legit
Weekly newsletter - June Edition,Here are the updates to the HR policy for your review.,legit
Confirm your account information,Verify your account details to continue using our services.,phishing
HR Policy Updates,Welcome our new team members and join the onboarding session.,legit
Claim your reward today!,Verify your account details to continue using our services.,phishing
Weekly newsletter - June Edition,Your quarterly review is scheduled for next week.,legit
Quarterly performance review,Let me know if 3 PM works for the meeting.,legit
Invoice for May services,This is a reminder to submit your timesheet by EOD.,legit
Project update and next steps,You are invited to attend the cybersecurity awareness workshop.,legit
Reminder: Submit your timesheet,Here are the updates to the HR policy for your review.,legit
Invoice for May services,Please find attached the project updates and timeline.,legit
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
HR Policy Updates,Welcome our new team members and join the onboarding session.,legit
Quarterly performance review,Your quarterly review is scheduled for next week.,legit
Action required: Verify your identity,Provide your personal information to restore access.,phishing
Quarterly performance review,Join us for a fun team outing this Friday evening.,legit
Team outing this Friday,Welcome our new team members and join the onboarding session.,legit
Reminder: Submit your timesheet,Attached is the invoice for services rendered in May.,legit
Reminder: Submit your timesheet,Please find attached the project updates and timeline.,legit
Reminder: Submit your timesheet,Here are the updates to the HR policy for your review.,legit
Project update and next steps,Your quarterly review is scheduled for next week.,legit
HR Policy Updates,You are invited to attend the cybersecurity awareness workshop.,legit
Urgent: Update your password,You have an unclaimed reward. Act now!,phishing
Your account has been suspended,Verify your account details to continue using our services.,phishing
You've won a prize!,Verify your account details to continue using our services.,phishing
You've won a prize!,Reset your credentials to avoid security issues.,phishing
Unusual activity found,Reactivate your account by logging in through this link.,phishing
New employee onboarding,Check out our latest updates in the June newsletter.,legit
Your account has been suspended,We noticed a suspicious login attempt. Confirm your identity.,phishing
Claim your reward today!,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Workshop on Cybersecurity,Attached is the invoice for services rendered in May.,legit
Suspicious login attempt detected,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Action required: Verify your identity,Verify your account details to continue using our services.,phishing
Team outing this Friday,Check out our latest updates in the June newsletter.,legit
Weekly newsletter - June Edition,Welcome our new team members and join the onboarding session.,legit
Final notice: Your invoice is due,Provide your personal information to restore access.,phishing
Confirm your account information,Click the link below to verify your account immediately.,phishing
Suspicious login attempt detected,Provide your personal information to restore access.,phishing
Weekly newsletter - June Edition,Let me know if 3 PM works for the meeting.,legit
New employee onboarding,Check out our latest updates in the June newsletter.,legit
Your account has been suspended,Reactivate your account by logging in through this link.,phishing
Reminder: Submit your timesheet,This is a reminder to submit your timesheet by EOD.,legit
You've won a prize!,You have an unclaimed reward. Act now!,phishing
Invoice for May services,Join us for a fun team outing this Friday evening.,legit
Project update and next steps,Join us for a fun team outing this Friday evening.,legit
You've won a prize!,Verify your account details to continue using our services.,phishing
Quarterly performance review,Attached is the invoice for services rendered in May.,legit
Team outing this Friday,Please find attached the project updates and timeline.,legit
Workshop on Cybersecurity,Your quarterly review is scheduled for next week.,legit
Weekly newsletter - June Edition,Join us for a fun team outing this Friday evening.,legit
Claim your reward today!,Reset your credentials to avoid security issues.,phishing
Reminder: Submit your timesheet,You are invited to attend the cybersecurity awareness workshop.,legit
Claim your reward today!,Reset your credentials to avoid security issues.,phishing
Team outing this Friday,Your quarterly review is scheduled for next week.,legit
Unusual activity found,Provide your personal information to restore access.,phishing
Your account has been suspended,Failure to update will result in account suspension.,phishing
Your account has been suspended,Reactivate your account by logging in through this link.,phishing
Claim your reward today!,Failure to update will result in account suspension.,phishing
Weekly newsletter - June Edition,Attached is the invoice for services rendered in May.,legit
Urgent: Update your password,Verify your account details to continue using our services.,phishing
Quarterly performance review,Join us for a fun team outing this Friday evening.,legit
Reset your password now,You have an unclaimed reward. Act now!,phishing
Invoice for May services,Welcome our new team members and join the onboarding session.,legit
Meeting rescheduled to 3 PM,Your quarterly review is scheduled for next week.,legit
Action required: Verify your identity,We noticed a suspicious login attempt. Confirm your identity.,phishing
Confirm your account information,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Invoice for May services,Your quarterly review is scheduled for next week.,legit
Suspicious login attempt detected,Verify your account details to continue using our services.,phishing
Reset your password now,Your account has been compromised. Update your password now.,phishing
Suspicious login attempt detected,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Reset your password now,Click the link below to verify your account immediately.,phishing
Weekly newsletter - June Edition,Here are the updates to the HR policy for your review.,legit
New employee onboarding,Welcome our new team members and join the onboarding session.,legit
Reset your password now,You have an unclaimed reward. Act now!,phishing
HR Policy Updates,Here are the updates to the HR policy for your review.,legit
HR Policy Updates,Check out our latest updates in the June newsletter.,legit
New employee onboarding,This is a reminder to submit your timesheet by EOD.,legit
Reset your password now,Verify your account details to continue using our services.,phishing
Confirm your account information,Failure to update will result in account suspension.,phishing
Suspicious login attempt detected,Failure to update will result in account suspension.,phishing
Final notice: Your invoice is due,Click the link below to verify your account immediately.,phishing
Reminder: Submit your timesheet,Let me know if 3 PM works for the meeting.,legit
Action required: Verify your identity,Provide your personal information to restore access.,phishing
Your account has been suspended,Failure to update will result in account suspension.,phishing
You've won a prize!,Reactivate your account by logging in through this link.,phishing
Workshop on Cybersecurity,Attached is the invoice for services rendered in May.,legit
Action required: Verify your identity,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Reset your password now,Click the link below to verify your account immediately.,phishing
Reset your password now,Provide your personal information to restore access.,phishing
You've won a prize!,Reset your credentials to avoid security issues.,phishing
Unusual activity found,Verify your account details to continue using our services.,phishing
Suspicious login attempt detected,Failure to update will result in account suspension.,phishing
Urgent: Update your password,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
Your account has been suspended,Congratulations! You've won a gift card. Claim it by clicking here.,phishing
